Intersection,Postal Code,Vehicle Traffic,Pedestrian Traffic,Average Age,Average Income,Average Number of Children Per Household,Percent of Youth
LAKE SHORE BLVD W and THIRD ST,M8V,7960,1409,42.4,32182,1.095571096,11.4
JANE ST and 400 S JANE ST RAMP,M6S 3Z5,26623,186,39.8,41745,1.082973621,18.1
LAKE SHORE BLVD W and TENTH ST,M8V 4C7,7847,1503,42.4,32182,1.095571096,11.4
LAKE SHORE BLVD W and KIPLING AVE,M8V 1L5,16881,1076,42.4,32182,1.095571096,11.4
LAKE SHORE BLVD W and TWENTY SECOND ST,M8V 1L9,15944,2967,42.4,32182,1.095571096,11.4
LAKE SHORE BLVD W and THIRTIETH ST,M8W 1N4,11260,638,42,32450,1.105901374,14
LAKE SHORE BLVD W and LONG BRANCH AVE,M8W 1N6,11202,786,42,32450,1.105901374,14
LAKE SHORE BLVD W and THIRTY SEVENTH ST,M8W 1N6,13675,1763,42,32450,1.105901374,14
LAKE SHORE BLVD W and BROWNS LINE,M8W,12072,987,42,32450,1.105901374,14
LAKE SHORE BLVD W and BROW DR,M8W 3P6,10946,280,42,32450,1.105901374,14
PARLIAMENT ST and FRONT ST E,M5A 0B2,14319,1680,39.3,28885,1.258089976,9.8
KING ST E and PARLIAMENT ST,M5A 3Y7,10781,2650,39.3,28885,1.258089976,9.8
QUEEN ST E and PARLIAMENT ST,M5A 1S9,10563,4769,39.3,28885,1.258089976,9.8
PARLIAMENT ST and SHUTER ST,M5A 1W6,8907,2584,39.3,28885,1.258089976,9.8
DUNDAS ST E and PARLIAMENT ST,M5A 2B1,11666,6698,39.3,28885,1.258089976,9.8
PARLIAMENT ST and GERRARD ST E,M5A 2Z7,13840,4702,39.3,28885,1.258089976,9.8
PARLIAMENT ST and CARLTON ST,M5A 2L3,8226,7385,39.3,28885,1.258089976,9.8
PARLIAMENT ST and WELLESLEY ST E,M4X 1P9,12878,4674,39.7,22486,1.193979933,12.7
BLOOR ST E and PARLIAMENT ST,M4X,17264,481,39.7,22486,1.193979933,12.7
SHERBOURNE ST and FRONT ST E,M5A 1E7,13597,4256,39.3,28885,1.258089976,9.8
KING ST E and SHERBOURNE ST,M5A 1J9,10293,4473,39.3,28885,1.258089976,9.8
SHERBOURNE ST and ADELAIDE ST E,M5A 1N3,11996,5275,39.3,28885,1.258089976,9.8
SHERBOURNE ST and RICHMOND ST E,M5A 4S8,14364,5606,39.3,28885,1.258089976,9.8
QUEEN ST E and SHERBOURNE ST,M5A 1S4,11522,4268,39.3,28885,1.258089976,9.8
DUNDAS ST E and SHERBOURNE ST,M5A 2R9,11697,5541,39.3,28885,1.258089976,9.8
SHERBOURNE ST and GERRARD ST E,M5A 2R9,15254,2040,39.3,28885,1.258089976,9.8
SHERBOURNE ST and CARLTON ST,M5A 4K2,8143,4328,39.3,28885,1.258089976,9.8
SHERBOURNE ST and WELLESLEY ST E,M5A 4K2,13302,4262,39.3,28885,1.258089976,9.8
BLOOR ST E and SHERBOURNE ST,M4W,15339,6308,45.3,49760,1.045380875,10.6
FRONT ST W and SIMCOE ST,M5J 1G2,11290,31351,38.5,47669,0.912935323,6.2
SIMCOE ST and WELLINGTON ST W,M5J 1J1,9034,17868,38.5,47669,0.912935323,6.2
DUNDAS ST W and MC CAUL ST,M5T 1W2,10100,11071,40.3,19920,1.240282686,7.4
DUNDAS ST W and BEVERLEY ST,M5T 1G4,11610,4911,40.3,19920,1.240282686,7.4
RICHMOND ST W and DUNCAN ST,M5V 0H5,8831,5417,34.2,45581,0.990990991,5.1
RICHMOND ST W and PETER ST,M5V 2H3,9004,7477,34.2,45581,0.990990991,5.1
RICHMOND ST W and JOHN ST,M5V 2E4,8435,14291,34.2,45581,0.990990991,5.1
ADELAIDE ST W and PETER ST,M5V 1P8,10387,9463,34.2,45581,0.990990991,5.1
BLOOR ST W and ST GEORGE ST,M5S 1W7,12249,20185,39,26269,1.028423773,5.6
SPADINA AVE and FRONT ST W,M5V 2A4,19268,4619,34.2,45581,0.990990991,5.1
SPADINA AVE and KING ST W,M5V,17090,14705,34.2,45581,0.990990991,5.1
SPADINA AVE and ADELAIDE ST W,M5T 0A1,16256,7818,40.3,19920,1.240282686,7.4
SPADINA AVE and RICHMOND ST W,M5T 0A1,14558,9693,40.3,19920,1.240282686,7.4
SPADINA AVE and QUEEN ST W,M5V,15709,19460,34.2,45581,0.990990991,5.1
SPADINA AVE and DUNDAS ST W,M5T 1H2,11107,26960,40.3,19920,1.240282686,7.4
SPADINA AVE and NASSAU ST,M5T,6586,7440,40.3,19920,1.240282686,7.4
SPADINA AVE and COLLEGE ST,M5T,14353,10810,40.3,19920,1.240282686,7.4
SPADINA AVE and HARBORD ST,M5S,17579,7679,39,26269,1.028423773,5.6
BLOOR ST W and SPADINA AVE,M5T 0A1,16003,16470,40.3,19920,1.240282686,7.4
BAYVIEW AVE and ROSEDALE VALLEY RD,M4W,17633,3,45.3,49760,1.045380875,10.6
DUNDAS ST E and COXWELL AVE,M4L 3A7,11544,1007,38.9,35864,1.110366168,18
DUNDAS ST E and WOODFIELD RD,M4L 2W6,8142,834,38.9,35864,1.110366168,18
DUNDAS ST E and GREENWOOD AVE,M4L 2P6,11219,1168,38.9,35864,1.110366168,18
DUNDAS ST E and LESLIE ST,M4M 3C7,7585,992,39.7,32114,1.123754153,13.9
DUNDAS ST E and JONES AVE,M4M 1S7,12020,1377,39.7,32114,1.123754153,13.9
DUNDAS ST E and PAPE AVE,M4M 2W3,10320,1072,39.7,32114,1.123754153,13.9
DUNDAS ST E and CARLAW AVE,M4M 2S1,13161,1241,39.7,32114,1.123754153,13.9
DUNDAS ST E and LOGAN AVE,M4M 2N9,9975,821,39.7,32114,1.123754153,13.9
DUNDAS ST E and BOULTON AVE,M4M 1R4,9276,1155,39.7,32114,1.123754153,13.9
BROADVIEW AVE and DUNDAS ST E,M4M 2G3,11422,2259,39.7,32114,1.123754153,13.9
DUNDAS ST E and RIVER ST,M5A 3P6,14073,1407,39.3,28885,1.258089976,9.8
DANFORTH AVE and BROADVIEW AVE,M4K 1N2,19400,12023,41.4,33632,1.102380952,14.6
BLOOR ST E and CASTLE FRANK RD,M4W 1J3,16611,1040,45.3,49760,1.045380875,10.6
BATHURST ST and QUEEN ST W,M5V 2A4,14588,10895,34.2,45581,0.990990991,5.1
BATHURST ST and FRONT ST W,M5V 2P1,12726,830,34.2,45581,0.990990991,5.1
BATHURST ST and RICHMOND ST W,M5V 2R2,11748,3918,34.2,45581,0.990990991,5.1
LAKE SHORE BLVD W and FLEET ST,M5V,20230,132,34.2,45581,0.990990991,5.1
COLLEGE ST and BATHURST ST,M5T,14329,8776,40.3,19920,1.240282686,7.4
EASTERN AVE and COXWELL AVE,M4L 1E5,12217,533,38.9,35864,1.110366168,18
EASTERN AVE and LESLIE ST,M4L 1A1,12068,1535,38.9,35864,1.110366168,18
BATHURST ST and HARBORD ST,M5S 2R5,15337,3012,39,26269,1.028423773,5.6
BATHURST ST and BARTON AVE,M5R 3G5,19364,2617,43.6,38077,1.024783147,7.3
BATHURST ST and DUPONT ST,M5R 1W5,20173,1975,43.6,38077,1.024783147,7.3
BATHURST ST and NINA ST,M5R 3H8,17065,840,43.6,38077,1.024783147,7.3
BATHURST ST and LONSDALE RD,M5P 1R8,17157,508,42.7,43296,1.083775186,12.9
BATHURST ST and BURTON RD,M5P 1V2,19676,345,42.7,43296,1.083775186,12.9
BATHURST ST and ROSELAWN AVE,M5N 1L2,17781,782,39.8,40021,1.115646259,18.5
BATHURST ST and BRIAR HILL AVE,M6B 2Z6,20567,572,41.3,28048,1.13549832,16.4
BATHURST ST and VIEWMOUNT AVE,M6B 3A1,18617,924,41.3,28048,1.13549832,16.4
BATHURST ST and GLENCAIRN AVE,M6B 1Z1,15498,1482,41.3,28048,1.13549832,16.4
BATHURST ST and SHELBOURNE AVE,Canada,19333,1139, ,,,
BATHURST ST and SARANAC BLVD,M6A 2B2,17368,687,40.4,25258,1.274008811,18.2
BATHURST ST and PRINCE CHARLES DR,M6A 2B5,17900,396,40.4,25258,1.274008811,18.2
BATHURST ST and RANEE AVE,M6A 2C1,12621,666,40.4,25258,1.274008811,18.2
BATHURST ST and NEPTUNE DR,M6A 2C8,18391,991,40.4,25258,1.274008811,18.2
BATHURST ST and JOICEY BLVD,M6A 2E6,19525,1340,40.4,25258,1.274008811,18.2
SHERBOURNE ST and SHUTER ST,M5A 2R6,9862,3786,39.3,28885,1.258089976,9.8
BATHURST ST and WILSON AVE,M3H,25136,6296,40.6,29524,1.115532734,16.3
BLOOR ST W and BATHURST ST,M6G 1K1,17508,12167,41.8,30249,1.111254851,11.8
BLOOR ST W and CHRISTIE ST,M6G 1L5,9761,5757,41.8,30249,1.111254851,11.8
BLOOR ST W and SHAW ST,M6G 1M1,8690,2426,41.8,30249,1.111254851,11.8
BLOOR ST W and DOVERCOURT RD,M6H 1L6,14725,2966,39.5,27401,1.08311229,11.8
DUFFERIN ST and BLOOR ST W,M6H 1M7,20038,12277,39.5,27401,1.08311229,11.8
BLOOR ST W and LANSDOWNE AVE,M6H 1P2,17274,3872,39.5,27401,1.08311229,11.8
DUNDAS ST W and BLOOR ST W,M6P,19755,5303,39.7,34539,1.043434848,13.4
BLOOR ST W and KEELE ST,M6R 2Z9,24538,3018,39.4,37178,1.059615385,15.6
BLOOR ST W and HIGH PARK AVE,M6P 2R5,13028,1996,39.7,34539,1.043434848,13.4
BLOOR ST W and CLENDENAN AVE,M6S 1M4,12170,1826,39.8,41745,1.082973621,18.1
BLOOR ST W and RUNNYMEDE RD,M6S 1N4,14213,11632,39.8,41745,1.082973621,18.1
BLOOR ST W and WINDERMERE AVE,M6S 1P2,13640,5135,39.8,41745,1.082973621,18.1
BLOOR ST W and JANE ST,M6S 1P9,17570,3485,39.8,41745,1.082973621,18.1
BLOOR ST W and SOUTH KINGSWAY,M6S,18595,1640,39.8,41745,1.082973621,18.1
BLOOR ST W and OLD MILL TRL,M8X,15806,496,45.7,50118,1.092948718,14.5
BLOOR ST W and THE KINGSWAY,M8X 1G8,13797,213,45.7,50118,1.092948718,14.5
BLOOR ST W and PRINCE EDWARD DR N,M8X 1B5,21167,1187,45.7,50118,1.092948718,14.5
BLOOR ST W and ROYAL YORK RD,M8X 1C2,23173,3056,45.7,50118,1.092948718,14.5
BLOOR ST W and ISLINGTON AVE,M8X,25266,1833,45.7,50118,1.092948718,14.5
BLOOR ST W and JACKSON AVE,M8X 1B8,13796,722,45.7,50118,1.092948718,14.5
BLOOR ST W and OSSINGTON AVE,M6G 1M5,15518,8063,41.8,30249,1.111254851,11.8
DANFORTH AVE and CHESTER AVE,M4K 2Z9,10312,4132,41.4,33632,1.102380952,14.6
DANFORTH AVE and LOGAN AVE,M4K 3E4,11526,6884,41.4,33632,1.102380952,14.6
DANFORTH AVE and CARLAW AVE,M4K 1P8,10706,3431,41.4,33632,1.102380952,14.6
DANFORTH AVE and PAPE AVE,M4K 1R3,18115,14052,41.4,33632,1.102380952,14.6
DANFORTH AVE and JONES AVE,M4J 1L2,13163,2832,40.4,31118,1.120894161,17.3
DANFORTH AVE and DONLANDS AVE,M4J 1M1,13674,4429,40.4,31118,1.120894161,17.3
DANFORTH AVE and GREENWOOD AVE,M4J 1M3,15446,3536,40.4,31118,1.120894161,17.3
DANFORTH AVE and COXWELL AVE,M4C 3B9,19534,7267,39.4,27685,1.100519931,17.2
DANFORTH AVE and GLEBEMOUNT AVE,M4C 1H8,11852,1152,39.4,27685,1.100519931,17.2
DANFORTH AVE and WOODBINE AVE,M4C 1J6,19125,5227,39.4,27685,1.100519931,17.2
DANFORTH AVE and GLEDHILL AVE,M4C 5K7,12852,1663,39.4,27685,1.100519931,17.2
MAIN ST and DANFORTH AVE,M4C 1L4,15646,7102,39.4,27685,1.100519931,17.2
DANFORTH AVE and DAWES RD,M4C 1L7,13932,1414,39.4,27685,1.100519931,17.2
DANFORTH AVE and VICTORIA PARK AVE,M4C 1N2,21459,5470,39.4,27685,1.100519931,17.2
DANFORTH AVE and PHARMACY AVE,M1L 1B8,16757,831,38.3,23496,1.151958674,18.6
DANFORTH AVE and DANFORTH RD,M1L 1E2,13682,113,38.3,23496,1.151958674,18.6
DANFORTH AVE and WARDEN AVE,M1L 1E1,16187,488,38.3,23496,1.151958674,18.6
DANFORTH AVE and BIRCHMOUNT RD,M1N,10152,230,43,32282,1.112191473,14.9
CLONMORE DR and HOLLIS AVE,M1N,11986,138,43,32282,1.112191473,14.9
GERRARD ST E and VICTORIA PARK AVE,M4E 3T6,18821,1343,40.1,42430,1.095512821,17.7
GERRARD ST E and MALVERN AVE,M4E 2E1,11353,300,40.1,42430,1.095512821,17.7
GERRARD ST E and MAIN ST,M4E 2W1,16181,1627,40.1,42430,1.095512821,17.7
GERRARD ST E and GLENMOUNT PARK RD,M4E 2B8,8606,348,40.1,42430,1.095512821,17.7
GERRARD ST E and WOODBINE AVE,M4L 2C1,16958,1499,38.9,35864,1.110366168,18
GERRARD ST E and BOWMORE RD,M4L 2B3,5543,513,38.9,35864,1.110366168,18
COXWELL AVE and FAIRFORD AVE,M4L 3B7,10215,1892,38.9,35864,1.110366168,18
COXWELL AVE and GERRARD ST E,M4L 3B7,10418,5069,38.9,35864,1.110366168,18
GERRARD ST E and GREENWOOD AVE,M4L 1Y6,12563,2050,38.9,35864,1.110366168,18
GERRARD ST E and JONES AVE,M4M 1Z7,11491,2189,39.7,32114,1.123754153,13.9
GERRARD ST E and PAPE AVE,M4M 1Z4,9482,2677,39.7,32114,1.123754153,13.9
GERRARD ST E and CARLAW AVE,M4K 3H9,14270,3177,41.4,33632,1.102380952,14.6
GERRARD ST E and LOGAN AVE,M4M 1Y8,9363,2688,39.7,32114,1.123754153,13.9
BROADVIEW AVE and GERRARD ST E,M4M 2G9,10982,5053,39.7,32114,1.123754153,13.9
DANFORTH RD and KENNEDY RD,M1K,9900,91,39.9,23092,1.198367859,17
DANFORTH RD and MACK AVE,M1L 3X3,8898,164,38.3,23496,1.151958674,18.6
DANFORTH RD and MIDLAND AVE,M1K,12456,839,39.9,23092,1.198367859,17
DANFORTH RD and BRIMLEY RD,M1J,15225,560,38.1,22985,1.263093788,19.6
EGLINTON AVE E and DANFORTH RD,M1J,22844,1340,38.1,22985,1.263093788,19.6
LAWRENCE AVE E and MCCOWAN RD,M1P,28053,2239,40.5,23548,1.15026643,16.1
DAVENPORT RD and BEDFORD RD,M5R 1J9,17560,1271,43.6,38077,1.024783147,7.3
DAVENPORT RD and DUPONT ST,M5R 1K6,15220,1769,43.6,38077,1.024783147,7.3
DAVENPORT RD and KENDAL AVE,M5R,19157,1078,43.6,38077,1.024783147,7.3
BATHURST ST and DAVENPORT RD,M5R 1L4,20361,657,43.6,38077,1.024783147,7.3
DAVENPORT RD and CHRISTIE ST,M6G 2B4,12464,866,41.8,30249,1.111254851,11.8
DAVENPORT RD and OSSINGTON AVE,M6G 2C3,12077,431,41.8,30249,1.111254851,11.8
DAVENPORT RD and OAKWOOD AVE,M6H 2G7,15267,974,39.5,27401,1.08311229,11.8
DUFFERIN ST and DAVENPORT RD,M6H 2H5,19252,1293,39.5,27401,1.08311229,11.8
DAVENPORT RD and LANSDOWNE AVE,M6H 3Z9,13178,1151,39.5,27401,1.08311229,11.8
DAVENPORT RD and CALEDONIA PARK RD,M6H 3Z8,13876,159,39.5,27401,1.08311229,11.8
OLD WESTON RD and DAVENPORT RD,M6N 1E1,8478,144,40.3,24517,1.174377224,15.4
ST CLAIR AVE E and DANFORTH RD,M1K 1L8,20237,420,39.9,23092,1.198367859,17
WESTON RD and TORYORK DR,M9M 2Y3,14923,695,38.4,23954,1.250494397,18.8
ROGERS RD and KEELE ST,M6M 1B7,16248,3586,39.2,24089,1.298634182,17.3
WESTON RD and ROGERS RD,M6M,24380,2705,39.2,24089,1.298634182,17.3
AVENUE RD and 401 C W AVENUE RD RAMP,Canada,13653,75, ,,,
LAWRENCE AVE E and SCARBOROUGH GOLF CLUB RD,M1G,18423,800,38.6,21241,1.225216065,18.8
LAWRENCE AVE E and BURNVIEW CRES,M1H 1A4,17430,849,39.9,23519,1.125239617,15.9
LAWRENCE AVE W and BENTON RD,M6L 1A3,19469,938,41.6,24345,1.226527571,16.8
LESLIE ST and LAWRENCE AVE E,M3C 3W2,28979,352,41.3,24944,1.1416882,16.5
LAWRENCE AVE E and THE DONWAY W,M3C,21144,1538,41.3,24944,1.1416882,16.5
LAWRENCE AVE E and DON MILLS RD,M3C,30555,2471,41.3,24944,1.1416882,16.5
LAWRENCE AVE E and THE DONWAY E,M3B,22686,1260,44.7,41725,1.04040404,15.3
LAWRENCE AVE E and UNDERHILL DR,M3A,28290,775,40,27357,1.194639719,16.8
DANFORTH AVE and BIRCHMOUNT RD,M1N,8736,140,43,32282,1.112191473,14.9
LAWRENCE AVE E and CURLEW DR,M3A 1C1,27922,1144,40,27357,1.194639719,16.8
LAWRENCE AVE E and VICTORIA PARK AVE,M1R,39515,4699,41.5,24637,1.177477945,15.5
LAWRENCE AVE E and PHARMACY AVE,M1R,46260,1965,41.5,24637,1.177477945,15.5
LAWRENCE AVE E and WARDEN AVE,M1R,36985,2352,41.5,24637,1.177477945,15.5
LAWRENCE AVE E and BIRCHMOUNT RD,M1R,28213,1125,41.5,24637,1.177477945,15.5
LAWRENCE AVE E and CANLISH RD,M1P 2P5,18751,861,40.5,23548,1.15026643,16.1
LAWRENCE AVE E and KENNEDY RD,M1P,33852,2846,40.5,23548,1.15026643,16.1
LAWRENCE AVE E and MIDLAND AVE,M1P,28584,2163,40.5,23548,1.15026643,16.1
LAWRENCE AVE E and BRIMLEY RD,M1J,28408,818,38.1,22985,1.263093788,19.6
LAWRENCE AVE E and BARRYMORE RD,M1P 2V6,16451,565,40.5,23548,1.15026643,16.1
LAWRENCE AVE E and BELLAMY RD N,M1H,27182,1329,39.9,23519,1.125239617,15.9
DANFORTH RD and BIRCHMOUNT RD,M1L,12128,953,38.3,23496,1.151958674,18.6
DANFORTH RD and WARDEN AVE,M1L,15485,385,38.3,23496,1.151958674,18.6
LAWRENCE AVE E and GREENCEDAR CRCT,M1S 5J3,18245,884,43.4,20843,1.072294023,12.5
LAWRENCE AVE E and MARKHAM RD,M1H,25775,4798,39.9,23519,1.125239617,15.9
LAWRENCE AVE W and DUPLEX AVE,M5M 3J5,16248,593,39.1,48777,1.118811881,21.1
LAWRENCE AVE W and LEDBURY ST,M5M 4H1,16089,493,39.1,48777,1.118811881,21.1
BATHURST ST and LAWRENCE AVE W,M6A,22429,3429,40.4,25258,1.274008811,18.2
LAWRENCE AVE W and VARNA DR,M6A 1A5,15584,175,40.4,25258,1.274008811,18.2
LAWRENCE AVE W and MARLEE AVE,M6B 2X4,26015,2862,41.3,28048,1.13549832,16.4
DUFFERIN ST and LAWRENCE AVE W,M6B,29053,2378,41.3,28048,1.13549832,16.4
LAWRENCE AVE W and CALEDONIA RD,M6A,26171,930,40.4,25258,1.274008811,18.2
KEELE ST and LAWRENCE AVE W,M6M,28931,6505,39.2,24089,1.298634182,17.3
LAWRENCE AVE W and CULFORD RD,M6L 1B9,21351,1630,41.6,24345,1.226527571,16.8
JANE ST and LAWRENCE AVE W,M9N,25776,4386,39.3,24983,1.289189189,17.3
WESTON RD and LAWRENCE AVE W,M9N 3P1,15780,4089,39.3,24983,1.289189189,17.3
LAWRENCE AVE W and SCARLETT RD,M9P 2V2,17799,265,44.9,30562,1.15007776,15
DIXON RD and ROYAL YORK RD,M9P,18293,403,44.9,30562,1.15007776,15
DIXON RD and ISLINGTON AVE,M9P,31673,1581,44.9,30562,1.15007776,15
DIXON RD and KIPLING AVE,M9R 1S7,21477,1693,40.9,26328,1.190724089,18
DIXON RD and CELESTINE DR,M9R 3M6,14048,241,40.9,26328,1.190724089,18
DIXON RD and MARTIN GROVE RD,M9W,18377,352,39.6,24616,1.203563306,16.2
EGLINTON AVE W and ROSTREVOR RD,M6C 2C3,13794,1025,40.2,32457,1.078114004,15.8
BROADVIEW AVE and CHESTER HILL RD,M4K 2R4,9311,833,41.4,33632,1.102380952,14.6
BROADVIEW AVE and MORTIMER AVE,M4K 2S2,14845,1027,41.4,33632,1.102380952,14.6
BROADVIEW AVE and COSBURN AVE,M4K 2S5,10153,544,41.4,33632,1.102380952,14.6
O CONNOR DR and PAPE AVE,M4K 2K7,20064,846,41.4,33632,1.102380952,14.6
O CONNOR DR and DONLANDS AVE,M4J 2T8,18634,366,40.4,31118,1.120894161,17.3
O CONNOR DR and DON MILLS RD,M4J,27109,84,40.4,31118,1.120894161,17.3
O CONNOR DR and COXWELL AVE,M4J 2W9,19888,279,40.4,31118,1.120894161,17.3
O CONNOR DR and WOODBINE AVE,M4C,30375,136,39.4,27685,1.100519931,17.2
O CONNOR DR and ST CLAIR AVE E,M4B 2S5,25974,684,41.1,27724,1.166226913,16
O CONNOR DR and BERMONDSEY RD,M4B 2T8,14156,186,41.1,27724,1.166226913,16
O CONNOR DR and VICTORIA PARK AVE,M4A,27980,1929,43.8,25758,1.162352941,14.1
EGLINTON AVE E and EGLINTON SQ,M1L 4T2,29192,446,38.3,23496,1.151958674,18.6
EGLINTON AVE E and VICTORIA PARK AVE,M4A,33095,2166,43.8,25758,1.162352941,14.1
EGLINTON AVE E and PHARMACY AVE,M1L,33335,1396,38.3,23496,1.151958674,18.6
EGLINTON AVE E and LESLIE ST,M3C,35069,194,41.3,24944,1.1416882,16.5
DON MILLS RD and EGLINTON AVE E,M3C 1V4,45185,2597,41.3,24944,1.1416882,16.5
EGLINTON AVE E and BERMONDSEY RD,M4A,29625,1016,43.8,25758,1.162352941,14.1
EGLINTON AVE E and WARDEN AVE,M1L,35905,1947,38.3,23496,1.151958674,18.6
EGLINTON AVE E and SINNOTT RD,M1L,19797,672,38.3,23496,1.151958674,18.6
EGLINTON AVE E and BIRCHMOUNT RD,M1K,39450,3069,39.9,23092,1.198367859,17
EGLINTON AVE E and IONVIEW RD,M1K 2Z2,18929,585,39.9,23092,1.198367859,17
EGLINTON AVE E and KENNEDY RD,M1K,29069,1957,39.9,23092,1.198367859,17
EGLINTON AVE E and MIDLAND AVE,M1K,30334,2723,39.9,23092,1.198367859,17
EGLINTON AVE E and BRIMLEY RD,M1J,27971,2174,38.1,22985,1.263093788,19.6
